tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,error
4,0.03,18,800,50,45,0.35,12.442346986058785
4,0.03,18,800,75,45,0.35,12.70413830374236
4,0.03,18,400,100,45,0.45,12.792426442454117
4,0.03,18,800,75,35,0.4,12.857423462257321
4,0.01,18,800,100,45,0.35,12.981027980353709
4,0.03,18,400,50,45,0.35,13.083289808997945
4,0.03,18,800,100,35,0.35,13.086142407240354
4,0.03,18,800,75,35,0.35,13.152355802077636
4,0.01,18,800,75,45,0.35,13.162734281965411
4,0.03,18,800,50,35,0.35,13.20540413671749
4,0.01,18,800,100,35,0.35,13.300355500780489
4,0.01,18,400,100,35,0.35,13.540498741883871
4,0.03,18,400,100,35,0.35,13.580846221041178
4,0.03,18,800,50,35,0.4,13.73963446807116
4,0.01,18,400,75,35,0.4,13.757160630225412
4,0.01,18,400,75,35,0.35,13.799554378690758
6,0.005,18,800,100,35,0.35,13.897691541276265
6,0.01,18,400,75,45,0.45,13.966271702878077
6,0.005,18,800,75,35,0.35,14.08516472394581
6,0.005,18,400,100,35,0.35,14.21502443112996
6,0.01,18,800,100,35,0.45,14.229710554953408
6,0.01,18,800,75,35,0.4,14.261779080943706
6,0.005,18,400,50,35,0.3,14.320949776123983
4,0.03,18,400,75,35,0.3,14.332824102119263
6,0.005,18,800,50,35,0.4,14.40846712046045
6,0.005,18,400,75,35,0.3,14.440704356373372
6,0.01,18,400,100,35,0.35,14.562761367248525
6,0.01,18,800,50,35,0.4,14.586142224417637
6,0.01,18,400,50,35,0.4,14.630539142818504
6,0.005,18,400,50,35,0.4,14.634795126293364
