tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,error
4,0.03,18,800,75,35,0.4,2.031313558566396
6,0.005,18,800,50,35,0.4,2.0566015085113687
6,0.01,18,800,50,35,0.4,2.060509028487534
4,0.03,18,800,50,35,0.4,2.074632554450214
6,0.005,18,400,75,35,0.3,2.0831845342505453
6,0.005,18,400,50,35,0.3,2.0966227833123834
4,0.03,18,400,75,35,0.3,2.1008990019498035
6,0.005,18,400,50,35,0.4,2.108060462862662
6,0.01,18,400,50,35,0.4,2.108250785950908
4,0.01,18,400,75,35,0.4,2.1174540426826383
6,0.01,18,800,75,35,0.4,2.1175342482843322
4,0.01,18,800,75,35,0.3,2.117993429980504
4,0.03,18,400,50,35,0.4,2.1193153266723126
6,0.005,18,800,75,35,0.4,2.1300792959171533
4,0.03,18,400,75,35,0.4,2.1426248706639113
4,0.01,18,400,50,35,0.3,2.1562031040096197
4,0.03,18,800,50,35,0.3,2.1563004136307433
6,0.005,18,800,75,35,0.3,2.1571973539374
6,0.005,18,400,75,35,0.4,2.1590600278361847
4,0.01,18,800,50,20,0.4,2.1624809329457544
