tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,error
4,0.03,18,800,50,35,0.35,1.9854536548463197
4,0.03,18,400,100,35,0.35,2.0221139784420665
4,0.03,18,400,50,45,0.35,2.0290438244848836
4,0.03,18,800,75,45,0.35,2.0339364099356225
4,0.01,18,800,75,45,0.35,2.055256440875443
4,0.03,18,800,100,35,0.35,2.0672607983986104
6,0.01,18,400,75,45,0.45,2.0708873912540295
4,0.01,18,400,75,35,0.35,2.071971738220918
4,0.01,18,800,100,35,0.35,2.0722559878618405
6,0.01,18,800,100,35,0.45,2.0802384293770677
4,0.03,18,800,50,45,0.35,2.082547598857961
4,0.01,18,800,100,45,0.35,2.0914916973863567
4,0.03,18,400,100,45,0.45,2.0967897971795777
4,0.01,18,400,100,35,0.35,2.103410329112075
4,0.03,18,800,75,35,0.35,2.106560873134364
6,0.005,18,400,100,35,0.35,2.1066575210634313
6,0.01,18,400,100,35,0.35,2.1089323971237213
6,0.005,18,800,100,35,0.35,2.109891723753361
6,0.005,18,800,75,35,0.35,2.1160789598643928
4,0.03,18,800,50,45,0.45,2.1210090509836976
