tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,error
4,0.01,18,400,75,20,0.3,2.178573827257213
4,0.005,18,400,75,20,0.3,2.24252341475051
4,0.01,18,600,50,20,0.3,2.2750158499058184
4,0.01,18,600,75,20,0.3,2.277168306671581
4,0.005,18,600,50,20,0.3,2.285298980606816
6,0.005,15,400,50,20,0.3,2.3058485972267357
4,0.005,18,600,75,20,0.3,2.306085777481078
4,0.01,18,400,50,20,0.3,2.3077610537044047
6,0.005,18,600,75,20,0.1,2.3369229885670855
4,0.01,18,400,75,20,0.1,2.337307987517992
4,0.01,15,400,75,20,0.3,2.339786697795433
6,0.005,18,400,50,20,0.3,2.342157687382813
4,0.01,15,600,50,20,0.3,2.3431656824555724
6,0.005,18,600,50,20,0.1,2.348014852758282
4,0.01,18,600,75,20,0.1,2.3511045422444505
4,0.01,12,600,50,20,0.3,2.354270750256751
6,0.005,15,400,75,20,0.3,2.3580091729437735
6,0.005,18,400,50,20,0.1,2.3630541407675376
4,0.01,15,600,75,20,0.3,2.3652317617388876
4,0.01,18,600,50,20,0.1,2.3661857196468796
