tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,error
4,0.03,18,800,100,35,0.35,14.523845942867728
4,0.03,18,400,100,35,0.35,14.568412661455023
4,0.03,18,800,50,35,0.35,14.714837361618862
4,0.01,18,800,100,35,0.35,14.721553316401566
4,0.03,18,800,75,35,0.4,14.72288718534452
4,0.03,18,800,50,45,0.35,14.796394198867775
4,0.03,18,400,75,35,0.3,14.805952463696334
4,0.01,18,400,100,35,0.35,14.954827736580125
4,0.01,18,400,75,35,0.35,14.957080992356849
4,0.03,18,400,100,45,0.45,15.035437375051178
4,0.01,18,800,75,45,0.35,15.049142824139933
4,0.01,18,400,75,35,0.4,15.070410199266108
4,0.01,18,800,100,45,0.35,15.208902005592124
4,0.03,18,800,75,35,0.35,15.225746443920137
4,0.03,18,400,50,45,0.35,15.241152590704568
6,0.005,18,800,100,35,0.35,15.302521993197193
4,0.03,18,800,50,35,0.4,15.30644184536396
6,0.005,18,400,75,35,0.3,15.313855725038408
4,0.03,18,800,75,45,0.35,15.368381042270023
6,0.01,18,800,100,35,0.45,15.549896180140442
6,0.005,18,400,100,35,0.35,15.587646160541228
6,0.005,18,800,75,35,0.35,15.591859256412757
6,0.01,18,400,75,45,0.45,15.660669179171345
6,0.005,18,400,50,35,0.3,15.7597757954946
6,0.005,18,800,50,35,0.4,15.818872379410955
6,0.01,18,800,75,35,0.4,15.875091752004506
6,0.01,18,400,100,35,0.35,15.899698522974209
6,0.005,18,400,50,35,0.4,16.164706653861234
6,0.01,18,400,50,35,0.4,16.20516943534607
6,0.01,18,800,50,35,0.4,16.525890836029177
